id_pedido,id_cliente,data_compra,produto_categoria,quantidade,preco_unitario,regiao_entrega
olist_ord_00000,olist_usr_81386,2026-04-16 00:00:00,automotivo,3,249.0,Nordeste
olist_ord_00001,olist_usr_61588,2026-05-26 00:00:00,   moveis_decoracao   ,4,189.9,Nordeste
olist_ord_00002,olist_usr_41716,2026-04-15 00:00:00,relogios_presentes,5,420.0,Sudeste
olist_ord_00003,olist_usr_88255,2026-04-03 00:00:00,automotivo,3,249.0,Nordeste
olist_ord_00004,olist_usr_31777,2026-02-10 00:00:00,cama_mesa_banho,2,95.5,Sul
olist_ord_00005,olist_usr_59285,2026-04-10 00:00:00,relogios_presentes,1,420.0,Sudeste
olist_ord_00006,olist_usr_92558,2026-03-10 00:00:00,relogios_presentes,4,420.0,Sul
olist_ord_00007,olist_usr_38788,2026-04-16 00:00:00,   automotivo   ,3,249.0,Sul
olist_ord_00008,olist_usr_14019,2026-05-19 00:00:00,informatica_acessorios,2,389.0,Nordeste
olist_ord_00009,olist_usr_85018,2026-05-26 00:00:00,   cama_mesa_banho   ,3,95.5,  Nordeste 
olist_ord_00010,olist_usr_56873,2026-05-20 00:00:00,,66,249.0,Sul
olist_ord_00011,olist_usr_94116,2026-05-24 00:00:00,cama_mesa_banho,5,95.5,Nordeste
olist_ord_00012,olist_usr_19895,2026-01-27 00:00:00,   cama_mesa_banho   ,5,95.5,Nordeste
olist_ord_00013,olist_usr_89671,2026-04-10 00:00:00,relogios_presentes,5,420.0,Nordeste
olist_ord_00014,olist_usr_59013,2026-05-25 00:00:00,moveis_decoracao,2,189.9,Centro-Oeste
olist_ord_00015,olist_usr_69570,2026-03-26 00:00:00,cama_mesa_banho,3,95.5,Sul
olist_ord_00016,olist_usr_85923,2026-04-29 00:00:00,utilidades_domesticas,1,59.9,Norte
olist_ord_00017,olist_usr_92895,2026-01-31 00:00:00,relogios_presentes,4,420.0,Sul
olist_ord_00018,olist_usr_57672,2026-04-19 00:00:00,informatica_acessorios,5,389.0,  Sudeste 
olist_ord_00019,olist_usr_16121,2026-06-12 00:00:00,   moveis_decoracao   ,5,189.9,Nordeste
olist_ord_00020,olist_usr_92445,2026-01-27 00:00:00,utilidades_domesticas,3,59.9,Nordeste
olist_ord_00021,olist_usr_77863,2026-03-28 00:00:00,utilidades_domesticas,3,59.9,  Norte 
olist_ord_00022,olist_usr_28930,2026-06-09 00:00:00,informatica_acessorios,2,389.0,Sudeste
olist_ord_00023,olist_usr_59987,2026-01-17 00:00:00,moveis_decoracao,2,189.9,Centro-Oeste
olist_ord_00024,olist_usr_45502,2026-01-11 00:00:00,relogios_presentes,5,420.0,Sul
olist_ord_00025,olist_usr_41688,2026-05-09 00:00:00,beleza_saude,3,129.9,Centro-Oeste
olist_ord_00026,olist_usr_17304,2026-03-23 00:00:00,   moveis_decoracao   ,1,189.9,Sudeste
olist_ord_00027,olist_usr_14049,2026-02-18 00:00:00,   informatica_acessorios   ,4,389.0,Norte
olist_ord_00028,olist_usr_24947,2026-02-10 00:00:00,utilidades_domesticas,3,59.9,Sudeste
olist_ord_00029,olist_usr_19495,2026-01-20 00:00:00,relogios_presentes,3,420.0,Norte
olist_ord_00030,olist_usr_34707,2026-03-12 00:00:00,moveis_decoracao,2,189.9,Centro-Oeste
olist_ord_00031,olist_usr_71920,2026-02-06 00:00:00,beleza_saude,4,129.9,Centro-Oeste
olist_ord_00032,olist_usr_54544,2026-05-06 00:00:00,beleza_saude,5,129.9,Sudeste
olist_ord_00033,olist_usr_40706,2026-05-24 00:00:00,cama_mesa_banho,3,95.5,Sudeste
olist_ord_00034,olist_usr_43993,2026-02-08 00:00:00,cama_mesa_banho,5,95.5,Nordeste
olist_ord_00035,olist_usr_24987,2026-04-19 00:00:00,automotivo,3,249.0,Norte
olist_ord_00036,olist_usr_29089,2026-06-22 00:00:00,informatica_acessorios,5,389.0,Nordeste
olist_ord_00037,olist_usr_75997,2026-03-05 00:00:00,moveis_decoracao,4,189.9,Sul
olist_ord_00038,olist_usr_19993,2026-06-24 00:00:00,moveis_decoracao,2,189.9,Sul
olist_ord_00039,olist_usr_21465,2026-01-23 00:00:00,automotivo,4,249.0,Sudeste
olist_ord_00040,olist_usr_92071,2026-02-01 00:00:00,utilidades_domesticas,1,59.9,  Centro-Oeste 
olist_ord_00041,olist_usr_42640,2026-06-26 00:00:00,   utilidades_domesticas   ,2,59.9,Sul
olist_ord_00042,olist_usr_85997,2026-05-03 00:00:00,automotivo,4,249.0,Sul
olist_ord_00043,,2026-01-19 00:00:00,utilidades_domesticas,1,59.9,Nordeste
olist_ord_00044,olist_usr_39895,DATA_INVALIDA_SISTEMA,   cama_mesa_banho   ,3,95.5,Nordeste
olist_ord_00045,olist_usr_11785,2026-03-08 00:00:00,moveis_decoracao,3,189.9,Sul
olist_ord_00046,olist_usr_16242,2026-06-16 00:00:00,   automotivo   ,5,249.0,Sudeste
olist_ord_00047,olist_usr_34529,2026-03-30 00:00:00,moveis_decoracao,2,189.9,Nordeste
olist_ord_00048,olist_usr_74399,2026-03-01 00:00:00,beleza_saude,3,129.9,Sul
olist_ord_00049,olist_usr_16356,2026-01-11 00:00:00,cama_mesa_banho,2,95.5,Centro-Oeste
olist_ord_00050,olist_usr_33229,2026-02-18 00:00:00,relogios_presentes,3,420.0,Nordeste
olist_ord_00051,olist_usr_95380,2026-05-23 00:00:00,cama_mesa_banho,5,95.5,Sul
olist_ord_00052,olist_usr_28220,2026-05-08 00:00:00,automotivo,4,249.0,  Norte 
olist_ord_00053,olist_usr_35651,2026-03-02 00:00:00,relogios_presentes,86,420.0,Nordeste
olist_ord_00054,olist_usr_97663,2026-06-20 00:00:00,beleza_saude,1,129.9,Norte
olist_ord_00055,olist_usr_98198,2026-05-23 00:00:00,automotivo,3,249.0,Nordeste
olist_ord_00056,olist_usr_71850,2026-01-05 00:00:00,informatica_acessorios,1,389.0,Nordeste
olist_ord_00057,olist_usr_44261,2026-01-29 00:00:00,moveis_decoracao,1,189.9,Norte
olist_ord_00058,olist_usr_68479,2026-03-10 00:00:00,beleza_saude,2,129.9,Sudeste
olist_ord_00059,olist_usr_60700,2026-05-30 00:00:00,moveis_decoracao,64,189.9,Sul
olist_ord_00060,olist_usr_52380,2026-01-13 00:00:00,utilidades_domesticas,1,59.9,  Sudeste 
olist_ord_00061,olist_usr_89833,2026-06-27 00:00:00,informatica_acessorios,4,389.0,Sudeste
olist_ord_00062,,2026-04-26 00:00:00,informatica_acessorios,1,389.0,Sul
olist_ord_00063,olist_usr_37011,2026-06-24 00:00:00,beleza_saude,4,129.9,  Centro-Oeste 
olist_ord_00064,olist_usr_58603,2026-04-20 00:00:00,informatica_acessorios,2,389.0,Sudeste
olist_ord_00065,olist_usr_28447,2026-06-06 00:00:00,relogios_presentes,1,420.0,Sudeste
olist_ord_00066,olist_usr_93940,2026-03-21 00:00:00,informatica_acessorios,5,389.0,  Sudeste 
olist_ord_00067,olist_usr_96677,2026-04-10 00:00:00,   moveis_decoracao   ,2,189.9,Centro-Oeste
olist_ord_00068,olist_usr_97843,DATA_INVALIDA_SISTEMA,moveis_decoracao,4,189.9,Nordeste
olist_ord_00069,olist_usr_85877,2026-05-28 00:00:00,automotivo,2,249.0,Norte
olist_ord_00070,olist_usr_84678,2026-04-24 00:00:00,moveis_decoracao,1,189.9,  Norte 
olist_ord_00071,olist_usr_74583,2026-01-06 00:00:00,automotivo,3,249.0,Centro-Oeste
olist_ord_00072,olist_usr_73056,2026-01-22 00:00:00,moveis_decoracao,-2,189.9,Sudeste
olist_ord_00073,olist_usr_91468,2026-05-17 00:00:00,relogios_presentes,4,420.0,  Norte 
olist_ord_00074,olist_usr_22017,2026-06-09 00:00:00,automotivo,4,249.0,Centro-Oeste
olist_ord_00075,olist_usr_47880,2026-03-29 00:00:00,cama_mesa_banho,3,95.5,Sul
olist_ord_00076,olist_usr_11355,2026-02-02 00:00:00,utilidades_domesticas,4,59.9,Norte
olist_ord_00077,,2026-03-11 00:00:00,beleza_saude,2,129.9,Sul
olist_ord_00078,olist_usr_74608,2026-02-18 00:00:00,moveis_decoracao,5,189.9,Sudeste
olist_ord_00079,olist_usr_91622,2026-04-14 00:00:00,informatica_acessorios,5,389.0,Norte
olist_ord_00080,olist_usr_97051,2026-06-07 00:00:00,moveis_decoracao,2,189.9,Centro-Oeste
olist_ord_00081,olist_usr_89756,2026-04-12 00:00:00,informatica_acessorios,5,389.0,Nordeste
olist_ord_00082,olist_usr_57266,2026-05-24 00:00:00,utilidades_domesticas,1,59.9,  Norte 
olist_ord_00083,olist_usr_64554,2026-04-16 00:00:00,utilidades_domesticas,2,59.9,Norte
olist_ord_00084,olist_usr_68215,2026-03-23 00:00:00,utilidades_domesticas,4,59.9,Norte
olist_ord_00085,olist_usr_70656,2026-03-27 00:00:00,informatica_acessorios,2,389.0,Norte
olist_ord_00086,olist_usr_64104,2026-01-14 00:00:00,moveis_decoracao,3,189.9,Centro-Oeste
olist_ord_00087,,2026-06-14 00:00:00,utilidades_domesticas,4,59.9,Centro-Oeste
olist_ord_00088,olist_usr_10969,2026-02-18 00:00:00,   relogios_presentes   ,58,420.0,Nordeste
olist_ord_00089,olist_usr_10254,2026-02-19 00:00:00,   automotivo   ,4,249.0,Centro-Oeste
olist_ord_00090,olist_usr_20306,2026-06-13 00:00:00,   informatica_acessorios   ,5,389.0,Centro-Oeste
olist_ord_00091,olist_usr_75516,2026-06-29 00:00:00,informatica_acessorios,2,389.0,Sudeste
olist_ord_00092,olist_usr_78197,2026-01-23 00:00:00,moveis_decoracao,1,189.9,  Sudeste 
olist_ord_00093,olist_usr_90845,2026-03-07 00:00:00,informatica_acessorios,4,389.0,Sul
olist_ord_00094,olist_usr_28223,2026-06-22 00:00:00,   informatica_acessorios   ,4,389.0,  Nordeste 
olist_ord_00095,olist_usr_81441,2026-04-25 00:00:00,utilidades_domesticas,3,59.9,Sudeste
olist_ord_00096,olist_usr_77967,DATA_INVALIDA_SISTEMA,moveis_decoracao,5,189.9,Nordeste
olist_ord_00097,olist_usr_83292,2026-01-20 00:00:00,utilidades_domesticas,3,59.9,Nordeste
olist_ord_00098,olist_usr_80889,2026-06-26 00:00:00,automotivo,3,249.0,Norte
olist_ord_00099,olist_usr_60117,2026-05-01 00:00:00,automotivo,5,249.0,Nordeste
olist_ord_00100,olist_usr_11737,2026-04-07 00:00:00,   utilidades_domesticas   ,1,59.9,Norte
olist_ord_00101,olist_usr_92404,2026-04-29 00:00:00,automotivo,78,249.0,  Sul 
olist_ord_00102,olist_usr_42476,2026-04-19 00:00:00,moveis_decoracao,3,189.9,Sul
olist_ord_00103,olist_usr_34325,2026-01-26 00:00:00,beleza_saude,4,129.9,Sul
olist_ord_00104,olist_usr_22326,2026-05-27 00:00:00,utilidades_domesticas,5,59.9,Norte
olist_ord_00105,olist_usr_22911,2026-04-16 00:00:00,relogios_presentes,2,420.0,Norte
olist_ord_00106,olist_usr_39080,2026-05-21 00:00:00,   relogios_presentes   ,1,420.0,Sul
olist_ord_00107,olist_usr_32635,2026-03-03 00:00:00,informatica_acessorios,1,389.0,Norte
olist_ord_00108,olist_usr_61179,2026-05-06 00:00:00,automotivo,5,249.0,Centro-Oeste
olist_ord_00109,olist_usr_15213,2026-05-22 00:00:00,relogios_presentes,4,420.0,Centro-Oeste
olist_ord_00110,olist_usr_67142,2026-05-19 00:00:00,informatica_acessorios,4,389.0,Norte
olist_ord_00111,olist_usr_73545,2026-03-08 00:00:00,beleza_saude,5,129.9,Norte
olist_ord_00112,olist_usr_37940,2026-01-12 00:00:00,moveis_decoracao,4,189.9,Sudeste
olist_ord_00113,olist_usr_58604,DATA_INVALIDA_SISTEMA,moveis_decoracao,1,189.9,Sudeste
olist_ord_00114,olist_usr_98901,2026-04-20 00:00:00,moveis_decoracao,1,189.9,Nordeste
olist_ord_00115,olist_usr_84332,2026-06-16 00:00:00,relogios_presentes,2,420.0,Nordeste
olist_ord_00116,olist_usr_59119,2026-06-09 00:00:00,beleza_saude,5,129.9,Nordeste
olist_ord_00117,olist_usr_92888,2026-01-14 00:00:00,relogios_presentes,3,420.0,Sul
olist_ord_00118,olist_usr_71604,2026-06-04 00:00:00,automotivo,3,249.0,Centro-Oeste
olist_ord_00119,olist_usr_26820,2026-04-11 00:00:00,relogios_presentes,2,420.0,Sul
olist_ord_00120,,2026-03-01 00:00:00,beleza_saude,2,129.9,Norte
olist_ord_00121,olist_usr_77345,2026-02-12 00:00:00,beleza_saude,4,129.9,Sudeste
olist_ord_00122,olist_usr_49314,2026-02-24 00:00:00,automotivo,2,249.0,  Norte 
olist_ord_00123,olist_usr_50875,2026-04-19 00:00:00,beleza_saude,2,129.9,Norte
olist_ord_00124,olist_usr_81041,2026-04-03 00:00:00,   beleza_saude   ,3,129.9,Sudeste
olist_ord_00125,olist_usr_80793,2026-06-12 00:00:00,moveis_decoracao,4,189.9,Norte
olist_ord_00126,olist_usr_90587,2026-04-05 00:00:00,   automotivo   ,2,249.0,Nordeste
