cliente,total_gasto,segmento
olist_usr_76500,3501.0,Bronze
olist_usr_24003,3236.0,Bronze
olist_usr_49899,3205.0,Bronze
olist_usr_38015,3190.0,Bronze
olist_usr_16242,3190.0,Bronze
olist_usr_28565,3190.0,Bronze
olist_usr_66436,2894.5,Bronze
olist_usr_31416,2785.0,Bronze
olist_usr_67198,2676.0,Bronze
olist_usr_40158,2520.0,Bronze
olist_usr_32474,2505.5,Bronze
olist_usr_52736,2422.5,Bronze
olist_usr_52861,2359.8,Bronze
olist_usr_15213,2329.5,Bronze
olist_usr_35545,2327.0,Bronze
olist_usr_64775,2324.8,Bronze
olist_usr_49875,2231.5,Bronze
olist_usr_49883,2209.5,Bronze
olist_usr_41051,2209.5,Bronze
olist_usr_53050,2157.5,Bronze
olist_usr_70112,2136.0,Bronze
olist_usr_51999,2074.9,Bronze
olist_usr_91438,2040.5,Bronze
olist_usr_75841,2019.6,Bronze
olist_usr_95184,1979.5,Bronze
olist_usr_72759,1966.5,Bronze
olist_usr_34019,1945.0,Bronze
olist_usr_37196,1945.0,Bronze
olist_usr_37048,1945.0,Bronze
olist_usr_36823,1945.0,Bronze
olist_usr_10605,1945.0,Bronze
olist_usr_98855,1945.0,Bronze
olist_usr_33855,1945.0,Bronze
olist_usr_33763,1945.0,Bronze
olist_usr_33565,1945.0,Bronze
olist_usr_33511,1945.0,Bronze
olist_usr_33486,1945.0,Bronze
olist_usr_10513,1945.0,Bronze
olist_usr_11056,1945.0,Bronze
olist_usr_98275,1945.0,Bronze
olist_usr_31169,1945.0,Bronze
olist_usr_35236,1945.0,Bronze
olist_usr_34982,1945.0,Bronze
olist_usr_41528,1945.0,Bronze
olist_usr_41276,1945.0,Bronze
olist_usr_40753,1945.0,Bronze
olist_usr_40589,1945.0,Bronze
olist_usr_97438,1945.0,Bronze
olist_usr_97743,1945.0,Bronze
olist_usr_97359,1945.0,Bronze
olist_usr_42206,1945.0,Bronze
olist_usr_44303,1945.0,Bronze
olist_usr_44826,1945.0,Bronze
olist_usr_43208,1945.0,Bronze
olist_usr_43135,1945.0,Bronze
olist_usr_29089,1945.0,Bronze
olist_usr_43381,1945.0,Bronze
olist_usr_43941,1945.0,Bronze
olist_usr_28899,1945.0,Bronze
olist_usr_28206,1945.0,Bronze
olist_usr_45921,1945.0,Bronze
olist_usr_45794,1945.0,Bronze
olist_usr_37944,1945.0,Bronze
olist_usr_38185,1945.0,Bronze
olist_usr_39543,1945.0,Bronze
olist_usr_40146,1945.0,Bronze
olist_usr_30494,1945.0,Bronze
olist_usr_11705,1945.0,Bronze
olist_usr_98309,1945.0,Bronze
olist_usr_35775,1945.0,Bronze
olist_usr_35931,1945.0,Bronze
olist_usr_30878,1945.0,Bronze
olist_usr_35294,1945.0,Bronze
olist_usr_35617,1945.0,Bronze
olist_usr_97995,1945.0,Bronze
olist_usr_50680,1945.0,Bronze
olist_usr_50797,1945.0,Bronze
olist_usr_94956,1945.0,Bronze
olist_usr_95499,1945.0,Bronze
olist_usr_48217,1945.0,Bronze
olist_usr_27762,1945.0,Bronze
olist_usr_49782,1945.0,Bronze
olist_usr_48894,1945.0,Bronze
olist_usr_27670,1945.0,Bronze
olist_usr_47066,1945.0,Bronze
olist_usr_96704,1945.0,Bronze
olist_usr_96069,1945.0,Bronze
olist_usr_97017,1945.0,Bronze
olist_usr_12560,1945.0,Bronze
olist_usr_94383,1945.0,Bronze
olist_usr_26531,1945.0,Bronze
olist_usr_56580,1945.0,Bronze
olist_usr_57052,1945.0,Bronze
olist_usr_57937,1945.0,Bronze
olist_usr_57672,1945.0,Bronze
olist_usr_58296,1945.0,Bronze
olist_usr_58384,1945.0,Bronze
olist_usr_60160,1945.0,Bronze
olist_usr_93940,1945.0,Bronze
olist_usr_12846,1945.0,Bronze
olist_usr_94104,1945.0,Bronze
olist_usr_94682,1945.0,Bronze
olist_usr_55610,1945.0,Bronze
olist_usr_53334,1945.0,Bronze
olist_usr_53944,1945.0,Bronze
olist_usr_54533,1945.0,Bronze
olist_usr_53183,1945.0,Bronze
olist_usr_61759,1945.0,Bronze
olist_usr_23690,1945.0,Bronze
olist_usr_23635,1945.0,Bronze
olist_usr_61377,1945.0,Bronze
olist_usr_63913,1945.0,Bronze
olist_usr_62047,1945.0,Bronze
olist_usr_63416,1945.0,Bronze
olist_usr_62646,1945.0,Bronze
olist_usr_64757,1945.0,Bronze
olist_usr_92757,1945.0,Bronze
olist_usr_93254,1945.0,Bronze
olist_usr_93725,1945.0,Bronze
olist_usr_22795,1945.0,Bronze
olist_usr_22822,1945.0,Bronze
olist_usr_64289,1945.0,Bronze
olist_usr_63780,1945.0,Bronze
olist_usr_65920,1945.0,Bronze
olist_usr_65918,1945.0,Bronze
olist_usr_65566,1945.0,Bronze
olist_usr_22213,1945.0,Bronze
olist_usr_66848,1945.0,Bronze
olist_usr_67392,1945.0,Bronze
olist_usr_67505,1945.0,Bronze
olist_usr_21975,1945.0,Bronze
olist_usr_67541,1945.0,Bronze
olist_usr_13534,1945.0,Bronze
olist_usr_94258,1945.0,Bronze
olist_usr_94325,1945.0,Bronze
olist_usr_55680,1945.0,Bronze
olist_usr_55858,1945.0,Bronze
olist_usr_25419,1945.0,Bronze
olist_usr_54837,1945.0,Bronze
olist_usr_68045,1945.0,Bronze
olist_usr_67965,1945.0,Bronze
olist_usr_67943,1945.0,Bronze
olist_usr_21573,1945.0,Bronze
olist_usr_91848,1945.0,Bronze
olist_usr_91622,1945.0,Bronze
olist_usr_20844,1945.0,Bronze
olist_usr_68172,1945.0,Bronze
olist_usr_13763,1945.0,Bronze
olist_usr_91210,1945.0,Bronze
olist_usr_20306,1945.0,Bronze
olist_usr_71314,1945.0,Bronze
olist_usr_71441,1945.0,Bronze
olist_usr_69179,1945.0,Bronze
olist_usr_68861,1945.0,Bronze
olist_usr_21311,1945.0,Bronze
olist_usr_19787,1945.0,Bronze
olist_usr_71969,1945.0,Bronze
olist_usr_71953,1945.0,Bronze
olist_usr_19973,1945.0,Bronze
olist_usr_74262,1945.0,Bronze
olist_usr_74430,1945.0,Bronze
olist_usr_72365,1945.0,Bronze
olist_usr_19607,1945.0,Bronze
olist_usr_75078,1945.0,Bronze
olist_usr_74747,1945.0,Bronze
olist_usr_89951,1945.0,Bronze
olist_usr_75097,1945.0,Bronze
olist_usr_18933,1945.0,Bronze
olist_usr_18769,1945.0,Bronze
olist_usr_20786,1945.0,Bronze
olist_usr_70252,1945.0,Bronze
olist_usr_76414,1945.0,Bronze
olist_usr_76092,1945.0,Bronze
olist_usr_78882,1945.0,Bronze
olist_usr_17587,1945.0,Bronze
olist_usr_80037,1945.0,Bronze
olist_usr_80875,1945.0,Bronze
olist_usr_81210,1945.0,Bronze
olist_usr_78876,1945.0,Bronze
olist_usr_89756,1945.0,Bronze
olist_usr_89804,1945.0,Bronze
olist_usr_82649,1945.0,Bronze
olist_usr_81997,1945.0,Bronze
olist_usr_82665,1945.0,Bronze
olist_usr_16345,1945.0,Bronze
olist_usr_84651,1945.0,Bronze
olist_usr_79363,1945.0,Bronze
olist_usr_84944,1945.0,Bronze
olist_usr_85710,1945.0,Bronze
olist_usr_86323,1945.0,Bronze
olist_usr_15307,1945.0,Bronze
olist_usr_86369,1945.0,Bronze
olist_usr_86939,1945.0,Bronze
olist_usr_87042,1945.0,Bronze
olist_usr_87312,1945.0,Bronze
olist_usr_89048,1945.0,Bronze
olist_usr_87780,1945.0,Bronze
olist_usr_88539,1945.0,Bronze
olist_usr_88754,1945.0,Bronze
olist_usr_32546,1945.0,Bronze
olist_usr_32066,1945.0,Bronze
olist_usr_10705,1945.0,Bronze
olist_usr_99399,1945.0,Bronze
olist_usr_33115,1935.8,Bronze
olist_usr_65277,1935.8,Bronze
olist_usr_68396,1919.6,Bronze
olist_usr_57754,1814.7,Bronze
olist_usr_73872,1799.8,Bronze
olist_usr_14902,1795.6,Bronze
olist_usr_98219,1775.5,Bronze
olist_usr_25316,1768.2,Bronze
olist_usr_35836,1755.6,Bronze
olist_usr_25646,1745.9,Bronze
olist_usr_18048,1685.9,Bronze
olist_usr_32522,1680.0,Bronze
olist_usr_99376,1680.0,Bronze
olist_usr_31901,1680.0,Bronze
olist_usr_14953,1680.0,Bronze
olist_usr_33226,1680.0,Bronze
olist_usr_14808,1680.0,Bronze
olist_usr_34463,1680.0,Bronze
olist_usr_58993,1680.0,Bronze
olist_usr_56360,1680.0,Bronze
olist_usr_56993,1680.0,Bronze
olist_usr_59130,1680.0,Bronze
olist_usr_35060,1680.0,Bronze
olist_usr_56293,1680.0,Bronze
olist_usr_87058,1680.0,Bronze
olist_usr_89152,1680.0,Bronze
olist_usr_86899,1680.0,Bronze
olist_usr_12962,1680.0,Bronze
olist_usr_20190,1680.0,Bronze
olist_usr_20038,1680.0,Bronze
olist_usr_71264,1680.0,Bronze
olist_usr_71088,1680.0,Bronze
olist_usr_71081,1680.0,Bronze
olist_usr_13888,1680.0,Bronze
olist_usr_74963,1680.0,Bronze
olist_usr_42227,1680.0,Bronze
olist_usr_41747,1680.0,Bronze
olist_usr_29171,1680.0,Bronze
olist_usr_73177,1680.0,Bronze
olist_usr_33360,1680.0,Bronze
olist_usr_24679,1680.0,Bronze
olist_usr_11076,1680.0,Bronze
olist_usr_14700,1680.0,Bronze
olist_usr_98519,1680.0,Bronze
olist_usr_43546,1680.0,Bronze
olist_usr_43545,1680.0,Bronze
olist_usr_75256,1680.0,Bronze
olist_usr_28515,1680.0,Bronze
olist_usr_28541,1680.0,Bronze
olist_usr_55048,1680.0,Bronze
olist_usr_31539,1680.0,Bronze
olist_usr_12684,1680.0,Bronze
olist_usr_12904,1680.0,Bronze
olist_usr_75124,1680.0,Bronze
olist_usr_75957,1680.0,Bronze
olist_usr_76764,1680.0,Bronze
olist_usr_23638,1680.0,Bronze
olist_usr_23594,1680.0,Bronze
olist_usr_90396,1680.0,Bronze
olist_usr_70379,1680.0,Bronze
olist_usr_90773,1680.0,Bronze
olist_usr_90314,1680.0,Bronze
olist_usr_35629,1680.0,Bronze
olist_usr_85824,1680.0,Bronze
olist_usr_85652,1680.0,Bronze
olist_usr_85696,1680.0,Bronze
olist_usr_15678,1680.0,Bronze
olist_usr_85477,1680.0,Bronze
olist_usr_15057,1680.0,Bronze
olist_usr_97986,1680.0,Bronze
olist_usr_35724,1680.0,Bronze
olist_usr_35692,1680.0,Bronze
olist_usr_53388,1680.0,Bronze
olist_usr_63520,1680.0,Bronze
olist_usr_23582,1680.0,Bronze
olist_usr_54205,1680.0,Bronze
olist_usr_46516,1680.0,Bronze
olist_usr_90468,1680.0,Bronze
olist_usr_76436,1680.0,Bronze
olist_usr_76551,1680.0,Bronze
olist_usr_76358,1680.0,Bronze
olist_usr_76056,1680.0,Bronze
olist_usr_69423,1680.0,Bronze
olist_usr_69398,1680.0,Bronze
olist_usr_77635,1680.0,Bronze
olist_usr_77541,1680.0,Bronze
olist_usr_52950,1680.0,Bronze
olist_usr_63912,1680.0,Bronze
olist_usr_23269,1680.0,Bronze
olist_usr_23264,1680.0,Bronze
olist_usr_23156,1680.0,Bronze
olist_usr_98356,1680.0,Bronze
olist_usr_68967,1680.0,Bronze
olist_usr_62485,1680.0,Bronze
olist_usr_84305,1680.0,Bronze
olist_usr_84374,1680.0,Bronze
olist_usr_16173,1680.0,Bronze
olist_usr_16228,1680.0,Bronze
olist_usr_76917,1680.0,Bronze
olist_usr_40311,1680.0,Bronze
olist_usr_68856,1680.0,Bronze
olist_usr_27261,1680.0,Bronze
olist_usr_48474,1680.0,Bronze
olist_usr_83744,1680.0,Bronze
olist_usr_16387,1680.0,Bronze
olist_usr_16503,1680.0,Bronze
olist_usr_48315,1680.0,Bronze
olist_usr_48210,1680.0,Bronze
olist_usr_53655,1680.0,Bronze
olist_usr_29481,1680.0,Bronze
olist_usr_31116,1680.0,Bronze
olist_usr_82083,1680.0,Bronze
olist_usr_82353,1680.0,Bronze
olist_usr_16377,1680.0,Bronze
olist_usr_51530,1680.0,Bronze
olist_usr_92558,1680.0,Bronze
olist_usr_51813,1680.0,Bronze
olist_usr_23052,1680.0,Bronze
olist_usr_92895,1680.0,Bronze
olist_usr_51139,1680.0,Bronze
olist_usr_51129,1680.0,Bronze
olist_usr_36852,1680.0,Bronze
olist_usr_36568,1680.0,Bronze
olist_usr_51387,1680.0,Bronze
olist_usr_65092,1680.0,Bronze
olist_usr_64840,1680.0,Bronze
olist_usr_17529,1680.0,Bronze
olist_usr_29944,1680.0,Bronze
olist_usr_38604,1680.0,Bronze
olist_usr_29689,1680.0,Bronze
olist_usr_17928,1680.0,Bronze
olist_usr_78089,1680.0,Bronze
olist_usr_77933,1680.0,Bronze
olist_usr_67988,1680.0,Bronze
olist_usr_21369,1680.0,Bronze
olist_usr_50770,1680.0,Bronze
olist_usr_22128,1680.0,Bronze
olist_usr_66162,1680.0,Bronze
olist_usr_22332,1680.0,Bronze
olist_usr_16674,1680.0,Bronze
olist_usr_51004,1680.0,Bronze
olist_usr_78897,1680.0,Bronze
olist_usr_89426,1680.0,Bronze
olist_usr_89510,1680.0,Bronze
olist_usr_65878,1680.0,Bronze
olist_usr_89386,1680.0,Bronze
olist_usr_13634,1680.0,Bronze
olist_usr_67805,1680.0,Bronze
olist_usr_91468,1680.0,Bronze
olist_usr_50536,1680.0,Bronze
olist_usr_21932,1680.0,Bronze
olist_usr_68153,1680.0,Bronze
olist_usr_30191,1680.0,Bronze
olist_usr_79498,1680.0,Bronze
olist_usr_80904,1680.0,Bronze
olist_usr_30250,1680.0,Bronze
olist_usr_67690,1680.0,Bronze
olist_usr_91462,1680.0,Bronze
olist_usr_13984,1680.0,Bronze
olist_usr_17202,1680.0,Bronze
olist_usr_99446,1680.0,Bronze
olist_usr_66699,1680.0,Bronze
olist_usr_58104,1680.0,Bronze
olist_usr_57820,1680.0,Bronze
olist_usr_57659,1680.0,Bronze
olist_usr_94984,1680.0,Bronze
olist_usr_34307,1680.0,Bronze
olist_usr_10645,1680.0,Bronze
olist_usr_72306,1680.0,Bronze
olist_usr_88753,1680.0,Bronze
olist_usr_72232,1680.0,Bronze
olist_usr_95968,1680.0,Bronze
olist_usr_44902,1680.0,Bronze
olist_usr_74260,1680.0,Bronze
olist_usr_44515,1665.0,Bronze
olist_usr_46326,1649.7,Bronze
olist_usr_63164,1634.0,Bronze
olist_usr_57373,1618.0,Bronze
olist_usr_48718,1559.5,Bronze
olist_usr_73908,1556.0,Bronze
olist_usr_72270,1556.0,Bronze
olist_usr_44047,1556.0,Bronze
olist_usr_96392,1556.0,Bronze
olist_usr_44782,1556.0,Bronze
olist_usr_72612,1556.0,Bronze
olist_usr_34045,1556.0,Bronze
olist_usr_57145,1556.0,Bronze
olist_usr_25213,1556.0,Bronze
olist_usr_57223,1556.0,Bronze
olist_usr_19837,1556.0,Bronze
olist_usr_72335,1556.0,Bronze
olist_usr_96842,1556.0,Bronze
olist_usr_58408,1556.0,Bronze
olist_usr_57965,1556.0,Bronze
olist_usr_57397,1556.0,Bronze
olist_usr_94961,1556.0,Bronze
olist_usr_67300,1556.0,Bronze
olist_usr_79558,1556.0,Bronze
olist_usr_66625,1556.0,Bronze
olist_usr_66437,1556.0,Bronze
olist_usr_37284,1556.0,Bronze
olist_usr_80423,1556.0,Bronze
olist_usr_79400,1556.0,Bronze
olist_usr_21829,1556.0,Bronze
olist_usr_67614,1556.0,Bronze
olist_usr_67620,1556.0,Bronze
olist_usr_30745,1556.0,Bronze
olist_usr_67142,1556.0,Bronze
olist_usr_21717,1556.0,Bronze
olist_usr_65652,1556.0,Bronze
olist_usr_66035,1556.0,Bronze
olist_usr_66081,1556.0,Bronze
olist_usr_66310,1556.0,Bronze
olist_usr_95877,1556.0,Bronze
olist_usr_51001,1556.0,Bronze
olist_usr_67824,1556.0,Bronze
olist_usr_21537,1556.0,Bronze
olist_usr_40110,1556.0,Bronze
olist_usr_17739,1556.0,Bronze
olist_usr_29703,1556.0,Bronze
olist_usr_30563,1556.0,Bronze
olist_usr_14049,1556.0,Bronze
olist_usr_13505,1556.0,Bronze
olist_usr_36866,1556.0,Bronze
olist_usr_81509,1556.0,Bronze
olist_usr_89833,1556.0,Bronze
olist_usr_36125,1556.0,Bronze
olist_usr_81521,1556.0,Bronze
olist_usr_84852,1556.0,Bronze
olist_usr_83699,1556.0,Bronze
olist_usr_83998,1556.0,Bronze
olist_usr_35839,1556.0,Bronze
olist_usr_48865,1556.0,Bronze
olist_usr_68491,1556.0,Bronze
olist_usr_27505,1556.0,Bronze
olist_usr_40283,1556.0,Bronze
olist_usr_40401,1556.0,Bronze
olist_usr_77053,1556.0,Bronze
olist_usr_49266,1556.0,Bronze
olist_usr_48829,1556.0,Bronze
olist_usr_92306,1556.0,Bronze
olist_usr_84217,1556.0,Bronze
olist_usr_52180,1556.0,Bronze
olist_usr_98484,1556.0,Bronze
olist_usr_26494,1556.0,Bronze
olist_usr_20920,1556.0,Bronze
olist_usr_69150,1556.0,Bronze
olist_usr_52428,1556.0,Bronze
olist_usr_69789,1556.0,Bronze
olist_usr_76408,1556.0,Bronze
olist_usr_76556,1556.0,Bronze
olist_usr_62854,1556.0,Bronze
olist_usr_97892,1556.0,Bronze
olist_usr_11207,1556.0,Bronze
olist_usr_15720,1556.0,Bronze
olist_usr_89449,1556.0,Bronze
olist_usr_15778,1556.0,Bronze
olist_usr_15870,1556.0,Bronze
olist_usr_85614,1556.0,Bronze
olist_usr_85596,1556.0,Bronze
olist_usr_54391,1556.0,Bronze
olist_usr_54688,1556.0,Bronze
olist_usr_61959,1556.0,Bronze
olist_usr_85739,1556.0,Bronze
olist_usr_76637,1556.0,Bronze
olist_usr_18673,1556.0,Bronze
olist_usr_75951,1556.0,Bronze
olist_usr_76038,1556.0,Bronze
olist_usr_97432,1556.0,Bronze
olist_usr_28223,1556.0,Bronze
olist_usr_90845,1556.0,Bronze
olist_usr_94259,1556.0,Bronze
olist_usr_47729,1556.0,Bronze
olist_usr_96858,1556.0,Bronze
olist_usr_45409,1556.0,Bronze
olist_usr_97141,1556.0,Bronze
olist_usr_40639,1556.0,Bronze
olist_usr_89923,1556.0,Bronze
olist_usr_45763,1556.0,Bronze
olist_usr_40632,1556.0,Bronze
olist_usr_90984,1556.0,Bronze
olist_usr_91164,1556.0,Bronze
olist_usr_20298,1556.0,Bronze
olist_usr_61169,1556.0,Bronze
olist_usr_61488,1556.0,Bronze
olist_usr_55015,1556.0,Bronze
olist_usr_55311,1556.0,Bronze
olist_usr_35083,1556.0,Bronze
olist_usr_35259,1556.0,Bronze
olist_usr_15289,1556.0,Bronze
olist_usr_15362,1556.0,Bronze
olist_usr_86427,1556.0,Bronze
olist_usr_94488,1556.0,Bronze
olist_usr_61025,1556.0,Bronze
olist_usr_93844,1556.0,Bronze
olist_usr_72845,1556.0,Bronze
olist_usr_73324,1556.0,Bronze
olist_usr_75107,1556.0,Bronze
olist_usr_13846,1556.0,Bronze
olist_usr_73394,1556.0,Bronze
olist_usr_55530,1556.0,Bronze
olist_usr_60509,1556.0,Bronze
olist_usr_87273,1556.0,Bronze
olist_usr_88908,1556.0,Bronze
olist_usr_88943,1556.0,Bronze
olist_usr_56557,1556.0,Bronze
olist_usr_56917,1556.0,Bronze
olist_usr_34564,1556.0,Bronze
olist_usr_34601,1556.0,Bronze
olist_usr_89347,1556.0,Bronze
